token	lemma	pos
so	zo	adv(resum)	
comt	komen	v(fin,pres,lex)	
die	de	art(def)	
doet	dood	n(sing)	
diet	die+het	pron(rel)+pron(pers,3,sing)	
al	al	adv(gener)	
vertaert	verteren	v(fin,pres,lex)

onversien	onverzien	adv(gener)	
want	want	conj(subord)	
hets	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	
haer	haar	pron(poss)	
aert	aard	n(sing)

panden	panden	v(infin)	
van	van	adp()	
haren	haar	pron(poss)	
ponden	pond	n(plu)

die	die	pron(rel)	
niemene	niemand 	pron(indef)	
can	kunnen	v(fin,pres,aux_cop)	
ghegronden	gegronden	v(infin)

iacop	jacob	n(prop)	
du	du	pron(pers,2,sing)	
heues	hebben	v(fin,pres,aux_cop)	
mi	ik	pron(pers,1,sing)	
bekeert	bekeren	v(participle,past)

ende	en	conj(coord)	
ghewijst	wijzen	v(participle,past)	
ende	en	conj(coord)	
gheleert	leren	v(participle,past)

van	van	adp()	
dies	die	pron(rel)	
ic	ik	pron(pers,1,sing)	
niet	niet	adv(neg)	
en	ne	adv(neg)	
wiste	weten	v(fin,past,lex)

al	al	conj(subord)	
sie	zien	v(fin,pres,lex)	
ic	ik	pron(pers,1,sing)	
meer	meer	num(indef)	
den	de	art(def)	
quaden	kwade	n(plu)	
gheheert	eren	v(participle,past)

mijn	mijn	pron(poss)	
herte	hart	n(sing)	
en	ne	adv(neg)	
werdes	worden	v(fin,past,aux_cop)	
niet	niet	adv(neg)	
verseert	verzeren	v(participle,past)

noch	noch	conj(coord)	
in	in	adp()	
gheenen	geen	pron(indef)	
twiste	twist	n(sing)

al	al	conj(subord)	
heuet	hebben	v(fin,pres,lex)	
hi	hij	pron(pers,3,sing)	
meer	meer	adv(gener)	
dan	dan	conj(comp)	
hi	hij	pron(pers,3,sing)	
vertert	verteren	v(fin,pres,lex)

ende	en	conj(coord)	
hi	hij	pron(pers,3,sing)	
wint	winnen	v(fin,pres,lex)	
dat	dat	conj(subord)	
hi	hij	pron(pers,3,sing)	
begaert	begeren	v(fin,pres,lex)

met	met	adp()	
scalcheit	schalkheid	n(sing)	
ende	en	conj(coord)	
met	met	adp()	
liste	list	n(sing)

ghinder	ginder	adv(dem)	
wert	worden	v(fin,pres,aux_cop)	
hi	hij	pron(pers,3,sing)	
ghedestruweert	destrueren	v(participle,past)

ende	en	conj(coord)	
ghebonden	binden	v(participle,past)	
ende	en	conj(coord)	
ghemeert	meren	v(participle,past)

sine	zijn	pron(poss)	
kindere	kind	n(plu)	
gaen	gaan	v(infin)	
te	te	adp()	
quiste	kwist	n(sing)

ghelijc	gelijk	adv(gener)	
eenen	een	art(indef)	
miste	mist	n(sing)

martin	martijn	n(prop)	
waerstu	zijn+du	v(fin,past,aux_cop)+pron(pers,2,sing)	
niet	niet	adv(neg)	
so	zo	adv(resum)	
vreet	vreed	adj()

eene	een	art(indef)	
dinc	ding	n(sing)	
die	die	pron(rel)	
ic	ik	pron(pers,1,sing)	
niet	niet	adv(neg)	
en	ne	adv(neg)	
weet	weten	v(fin,pres,lex)

soudic	zullen+ik	v(fin,past,aux_cop)+pron(pers,1,sing)	
hu	gij	pron(pers,2,plu)	
gherne	gaarne	adv(gener)	
vraghen	vragen	v(infin)

twi	twi	adv(inter)	
sijn	zijn	v(fin,pres,aux_cop)	
die	de	art(def)	
sonden	zonde	n(plu)	
gode	god	n(sing)	
so	zo	adv(dem)	
leet	leden	v(fin,past,lex)

dat	dat	conj(subord)	
hi	hij	pron(pers,3,sing)	
den	de	art(def)	
sondare	zondaar	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
so	zo	adv(resum)	
heet	heet	adj()

in	in	adp()	
wraken	wraak	n(plu)	
ende	en	conj(coord)	
in	in	adp()	
plaghen	plaag	n(plu)

want	want	conj(subord)	
gheen	geen	pron(indef)	
sondare	zondaar	n(sing)	
langher	lang	adv(gener)	
steet	staan	v(fin,pres,lex)

in	in	adp()	
sonden	zonde	n(plu)	
dan	dan	conj(comp)	
sijn	zijn	pron(poss)	
lijf	lijf	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
breet	breed	adj()

twi	twi	adv(inter)	
torment	tormenten	v(fin,pres,lex)	
hine	hij+hij	pron(pers,3,sing)+pron(pers,3,sing)	
met	met	adp()	
slaghen	slag	n(plu)

eewelike	eeuwelijk	adv(gener)	
sonder	zonder	adp()	
versceet	verscheid	n(sing)

dit	dit	pron(dem)	
en	en	adv(neg)	
scijnt	schijnen	v(fin,pres,aux_cop)	
te	te	adp()	
pointe	punt	n(sing)	
niet	niet	adv(neg)	
gheleet	leiden	v(participle,past)

tordeel	het+oordeel	art(def)+n(sing)	
dorstics	durven+ik+dat	v(fin,pres,lex)+pron(pers,1,sing)+pron(dem)	
ghewaghen	gewagen	v(infin)

al	al	conj(subord)	
weten	weten	v(fin,pres,lex)	
wijs	wij+het	pron(pers,1,plu)+pron(pers,3,sing)	
wien	wie	pron(inter)	
claghen	klagen	v(infin)

iacop	jacob	n(prop)	
god	god	n(sing)	
die	die	pron(rel)	
herten	hart	n(plu)	
kent	kennen	v(fin,pres,lex)

sent	zenden	v(fin,pres,lex)	
den	de	art(def)	
sondare	zondaar	n(sing)	
recht	recht	adj()	
torment	torment	n(sing)

nader	na+de	adp()+art(def)	
herten	hart	n(sing)	
ghedochte	gedachte	n(sing)

omme + dat	omdat	conj(subord)	
hi	hij	pron(pers,3,sing)	
wilde	willen	v(fin,past,lex)	
als	als	conj(comp)	
i	een	art(indef)	
rent	rund	n(sing)

altoes	altoos	adv(gener)	
leuen	leven	v(infin)	
ende	en	conj(coord)	
onghehent	onge‘ind	adv(gener)

vp+dat	opdat	conj(subord)	
wesen	wezen	v(infin)	
mochte	mogen	v(fin,past,aux_cop)

so	zo	adv(resum)	
es	zijn	v(fin,pres,aux_cop)	
hi	hij	pron(pers,3,sing)	
ter	te+de	adp()+art(def)	
hellen	hel	n(sing)	
ghesent	zenden	v(participle,past)

daer	daar	adv(rel)	
hi	hij	pron(pers,3,sing)	
eewelijc	eeuwelijk	adv(gener)	
es	zijn	v(fin,pres,aux_cop)	
ghescent	schenden	v(participle,past)

want	want	conj(subord)	
sijn	zijn	pron(poss)	
wille	wil	n(sing)	
dat	dat	pron(dem)	
wrochte	werken	v(fin,past,lex)

besie	bezien	v(imp)	
dine	dijn	pron(poss)	
herte	hart	n(sing)	
al	al	adv(gener)	
omtrent	omtrent	adv(gener)

dincti	dunken+gij	v(fin,pres,aux_cop)+pron(pers,2,plu)	
dese	deze	pron(dem)	
redene	reden	n(sing)	
blent	blind	adj()

die	die	pron(rel)	
ic	ik	pron(pers,1,sing)	
hier	hier	pronadv(dem)	
toe+brochte	toebrengen	v(fin,past,lex)

neent	neen+het	adv(neg)+pron(pers,3,sing)	
diet	die+het	pron(rel)+pron(pers,3,sing)	
wel	wel	adv(gener)	
besochte	bezoeken	v(fin,past,lex)

martin	martijn	n(prop)	
du	du	pron(pers,2,sing)	
seghes	zeggen	v(fin,pres,lex)	
wel	wel	adv(gener)	
ende	en	conj(coord)	
waer	waar	n(sing)

ende	en	conj(coord)	
dine	dijn	pron(poss)	
redene	reden	n(sing)	
die	die	pron(rel)	
es	zijn	v(fin,pres,aux_cop)	
claer	klaar	adj()

ende	en	conj(coord)	
licht	licht	adv(gener)	
te	te	adp()	
verstane	verstaan	v(infin)

al	al	num(indef)	
ghepeins	gepeins	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
openbaer	openbaar	adj()

vor	voor	adp()	
hem	hij	pron(pers,3,sing)	
die	die	pron(dem)	
tellet	tellen	v(fin,pres,lex)	
alle	al	pron(indef)	
haer	haar	n(sing)

ende	en	conj(coord)	
wat	wat	pron(rel)	
die	de	art(def)	
hemel	hemel	n(sing)	
heeft	hebben	v(fin,pres,lex)	
ane	aan	adp()

ia	ja	interj()	
louere	loof	n(plu)	
gras	gras	n(sing)	
dach	dag	n(sing)	
ende	en	conj(coord)	
jaer	jaar	n(sing)

dropele	druppel	n(plu)	
zants	zand	n(plu)	
es	zijn	v(fin,pres,aux_cop)	
hem	hij	pron(pers,3,sing)	
niet	niet	adv(neg)	
zwaer	zwaar	adj()

in	in	adp()	
telne	te+tellen	adp()+v(infin)	
te	te	adp()	
beuane	bevangen	v(infin)

hi	hij	pron(pers,3,sing)	
heuet	hebben	v(fin,pres,lex)	
ypocricie	hypocrisie	n(sing)	
ommaer	onmaar	adj()

ende	en	conj(coord)	
leghet	liggen	v(fin,pres,lex)	
hem	hij	pron(pers,3,sing)	
met	met	adp()	
wraken	wraak	n(sing)	
naer	naar	adp()

die	die	pron(rel)	
in	in	adp()	
hare	haar	pron(poss)	
bane	baan	n(sing)

pleghen	plegen	v(fin,pres,lex)	
omme	om	adp()	
te	te	adp()	
gane	gaan	v(infin)

soete	zoet	adj()	
martin	martijn	n(prop)	
men	men	pron(indef)	
leset	lezen	v(fin,pres,lex)	
dat	dat	conj(subord)

al	al	conj(subord)	
gauic	geven+ik	v(fin,past,lex)+pron(pers,1,sing)	
wech	weg	n(sing)	
lijf	lijf	n(sing)	
ende	en	conj(coord)	
scat	schat	n(sing)

ende	en	conj(coord)	
ghedoghede	gedogen	v(fin,past,lex)	
grote	groot	adj()	
coude	koude	n(sing)

ware	zijn	v(fin,past,lex)	
ic	ik	pron(pers,1,sing)	
in	in	adp()	
hooft+sonden	hoofdzonde	n(plu)	
mat	mat	adj()

het	het	pron(pers,3,sing)	
en	ne	adv(neg)	
diedde	duiden	v(fin,past,lex)	
mi	ik	pron(pers,1,sing)	
niet	niet	adv(neg)	
een	een	art(indef)	
blat	blad	n(sing)

die	de	art(def)	
nieuwe	nieuw	adj()	
wet	wet	n(sing)	
spreect	spreken	v(fin,pres,lex)	
ende	en	conj(coord)	
toude	het+oud	art(def)+adj()

die	die	pron(rel)	
ons	wij	pron(pers,1,plu)	
dus	dus	adv(dem)	
nauwe	nauw	adv(gener)	
maken	maken	v(fin,pres,lex)	
den	de	art(def)	
pat	pad	n(sing)

te	te	adp()	
hemele+waert	hemelwaarts	adj()	
ende	en	conj(coord)	
so	zo	adv(resum)	
glat	glad	adj()

ic	ik	pron(pers,1,sing)	
wilde	willen	v(fin,past,aux_cop)	
god	god	n(sing)	
selue	zelf	pron(dem)	
woude	willen	v(fin,past,aux_cop)

dat	dat	conj(subord)	
si	zij	pron(pers,3,plu)	
portiers	portier	n(plu)	
waren	zijn	v(fin,past,aux_cop)	
ghesat	zetten	v(participle,past)

ter	te+de	adp()+art(def)	
hellen	hel	n(sing)	
si	zij	pron(pers,3,plu)	
souden	zullen	v(fin,past,aux_cop)	
tgat	het+gat	art(def)+n(sing)

so	zo	adv(resum)	
houden	houden	v(infin)	
met	met	adp()	
ghewoude	gewoud	n(sing)

dattre	dat+er	pron(rel)+pronadv(pers)	
cume	kuim	adv(gener)	
iemene	iemand	pron(indef)	
in	in	pronadv(pers)	
soude	zullen	v(fin,past,aux_cop)

iacop	jacob	n(prop)	
menech	menig	num(indef)	
prouft	proeven	v(fin,pres,lex)	
ende	en	conj(coord)	
coort	keuren	v(fin,pres,lex)

der	de	art(def)	
helegher	heilig	adj()	
scrifturen	schriftuur	n(sing)	
wort	woord	n(sing)

ende	en	conj(coord)	
waense	wanen+zij	v(fin,past,aux_cop)+pron(pers,3,sing)	
wel	wel	adv(gener)	
ghegronden	gegronden	v(infin)

so	zo	adv(resum)	
clapt	klappen	v(fin,past,lex)	
hijt	hij+het	pron(pers,3,sing)+pron(pers,3,sing)	
leeken	leek	adj()	
lieden	lieden	n(plu)	
vort	voort	adv(gener)

die	die	pron(rel)	
gherne	gaarne	adv(gener)	
nieuwe	nieuw	adj()	
dinghen	ding	n(plu)	
hort	horen	v(fin,pres,aux_cop)

wat	wat	pron(rel)	
hi	hij	pron(pers,3,sing)	
heuet	hebben	v(fin,pres,aux_cop)	
vonden	vinden	v(participle,past)

selue	zelf	pron(dem)	
verstaet	verstaan	v(fin,pres,lex)	
hijs	hij+het	pron(pers,3,sing)+pron(dem)	
niet	niet	adv(neg)	
een	een	art(indef)	
ort	oord	n(sing)

dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)	
meerre	meer	adj()	
mesdaet	misdaad	n(sing)	
dan	dan	conj(comp)	
mort	moord	n(sing)

dat	dat	conj(subord)	
si	zij	pron(pers,3,plu)	
gods	god	n(sing)	
wort	woord	n(sing)	
dus	dus	adv(dem)	
wonden	wonden	v(fin,past,lex)

hier	hier	adv(dem)	
naeyen	naaien	v(fin,pres,lex)	
sijt	zij+het	pron(pers,3,sing)+pron(pers,3,sing)	
hier	hier	adv(dem)	
eyst	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
ghescort	scheuren	v(participle,past)

hier	hier	adv(dem)	
breect	breken	v(fin,pres,lex)	
een	een	art(indef)	
naghel	nagel	n(sing)	
hier	hier	pronadv(dem)	
i	een	art(indef)	
bort	bord	n(sing)

wapene	wapen	interj()	
vanden	van+de	adp()+art(def)	
honden	hond	n(plu)

nu	nu	adv(dem)	
ende	en	conj(coord)	
tallen	te+al	adp()+pron(indef)	
stonden	stond	n(plu)

vvanen	wanen	v(fin,pres,lex)	
si	zij	pron(pers,3,plu)	
die	de	art(def)	
wort	woord	n(plu)	
ghegronden	gegronden	v(infin)	
saen	zaan	adv(gener)

daer	daar	pronadv(rel)	
die	de	art(def)	
wortele	wortel	n(plu)	
ane	aan	pronadv(rel)	
staen	staan	v(fin,pres,lex)

gheplant	planten	v(participle,past)	
in	in	adp()	
hemelrike	hemelrijk	n(sing)

si	zij	pron(pers,3,plu)	
iaghen	jagen	v(fin,pres,lex)	
vele	veel	adv(gener)	
ende	en	conj(coord)	
cleene	klein	adv(gener)	
si	zij	pron(pers,3,plu)	
vaen	vangen	v(fin,pres,lex)

so	zo	adv(resum)	
willen	willen	v(fin,pres,aux_cop)	
si	zij	pron(pers,3,plu)	
tsamen	tezamen	adv(gener)	
slaen	slaan	v(infin)

ghelike	gelijke	n(sing)	
ende	en	conj(coord)	
onghelike	ongelijke	n(sing)

dies	dies	adv(gener)	
latic	laten+ik	v(fin,pres,lex)+pron(pers,1,sing)	
mijn	mijn	pron(poss)	
vraghen	vragen	n(plu)	
gaen	gaan	v(infin)

want	want	conj(coord)	
het	het	pron(pers,3,sing)	
dinct	dunken	v(fin,pres,aux_cop)	
mi	ik	pron(pers,1,sing)	
best	best	adv(gener)	
ghedaen	doen	v(participle,past)

dat	dat	conj(subord)	
ic	ik	pron(pers,1,sing)	
hier	hier	pronadv(dem)	
af	af	pronadv(prep)	
wike	wijken	v(fin,pres,lex)

dan	dan	conj(comp)	
ic	ik	pron(pers,1,sing)	
viel	vallen	v(fin,past,lex)	
in	in	adp()	
dommen	dom	adj()	
waen	waan	n(sing)

ende	en	conj(coord)	
nutter	nut	adj()	
eist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
dat	dat	conj(subord)	
hi	hij	pron(pers,3,sing)	
vliet	vlieden	v(fin,pres,lex)	
de	de	art(def)	
naen	naan	n(sing)

dan	dan	conj(comp)	
hi	hij	pron(pers,3,sing)	
te	te	adp()	
campe	kamp	n(sing)	
strike	strijken	v(fin,past,lex)

ieghen	jegen	adp()	
den	de	art(def)	
kempe	kempe	n(sing)	
eerlike	eerlijk	adj()

of	of	conj(coord)	
god	god	n(sing)	
ten	te+de	adp()+art(def)	
joncsten	jongsten	adv(gener)	
daghe	dag	n(sing)	
sal	zullen	v(fin,pres,aux_cop)

ghepeins	gepeins	n(sing)	
ende	en	conj(coord)	
wort	woord	n(sing)	
berechten	berechten	v(infin)	
al	al	num(indef)

daer	daar	pronadv(rel)	
wi	wij	pron(pers,1,plu)	
in	in	adp()	
oint	ooit	adv(indef)	
mesdaden	misdoen	v(fin,past,lex)

soudi	zullen+hij	v(fin,past,aux_cop)+pron(pers,3,sing)	
alse	als	conj(comp)	
eenen	een	art(indef)	
onwerden	onwaard	adj()	
bal	bal	n(sing)

weldaet	weldaad	n(sing)	
werpen	werpen	v(fin,pres,lex)	
int	in+dat	adp()+art(def)	
helsche	hels	adj()	
dal	dal	n(sing)

so	zo	adv(resum)	
ware	zijn	v(fin,past,aux_cop)	
hi	hij	pron(pers,3,sing)	
sonder	zonder	adp()	
ghenaden	genade	n(sing)

neen	neen	interj()	
hi	hij	pron(pers,3,sing)	
en	ne	adv(neg)	
es	zijn	v(fin,pres,aux_cop)	
niet	niet	adv(neg)	
so	zo	adv(dem)	
smal	smal	adj()

van	van	adp()	
wel+daden	weldaad	n(plu)	
dat	dat	art(def)	
ghetal	getal	n(sing)

hen	zij	pron(pers,3,plu)	
wert	worden	v(fin,past,lex)	
van	van	adp()	
grade	graad	n(sing)	
te	te	adp()	
graden	graad	n(plu)

van	van	adp()	
gode	god	n(prop)	
ghedanct	danken	v(participle,past)	
die	die	pron(rel)	
noyt	nooit	adv(neg)	
en	ne	adv(neg)	
al	helen	v(fin,past,lex)

wat	wat	pron(rel)	
men	men	pron(indef)	
wel	wel	adv(gener)	
dede	doen	v(fin,past,lex)	
ofte	of	conj(coord)	
stal	stelen	v(fin,past,lex)

gherechtichede	gerechtigheid	n(sing)	
soude	zullen	v(fin,past,aux_cop)	
scaden	schaden	v(infin)

hen	zij	pron(pers,3,plu)	
horde	horen	v(fin,past,lex)	
god	god	n(sing)	
niet	niet	adv(neg)	
die	die	pron(dem)	
baden	bidden	v(fin,past,lex)

dat	dat	pron(dem)	
seit	zeggen	v(fin,pres,lex)	
dat	dat	pron(dem)	
gheloue	geloof	n(sing)	
mijn	mijn	pron(poss)

god	god	n(sing)	
moet	moeten	v(fin,pres,aux_cop)	
in	in	adp()	
hem	hij	pron(refl,3,sing)	
seluen	zelf	pron(dem)	
sijn	zijn	v(infin)

hine	hij+ne	pron(pers,3,sing)+adv(neg)	
mach	mogen	v(fin,pres,aux_cop)	
el	el	adv(dem)	
nieweren	niewer	adv(dem)	
wesen	wezen	v(infin)

hi	hij	pron(pers,3,sing)	
es	zijn	v(fin,pres,aux_cop)	
gherechticheden	gerechtigheid	n(plu)	
fijn	fijn	n(sing)

ende	en	conj(coord)	
ghenadichede	genadigheid	n(sing)	
dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
anschijn	aanschijn	adv(gener)

hets	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	
al	al	adv(gener)	
een	een	num(card)	
van	van	adp()	
desen	deze	pron(dem)

die	die	pron(rel)	
vanden	van+de	adp()+art(def)	
watre	water	n(sing)	
maecte	maken	v(fin,past,lex)	
wijn	wijn	n(sing)

hine	hij+ne	pron(pers,3,sing)+adv(neg)	
es	zijn	v(fin,pres,aux_cop)	
sijns	zijn	pron(refl,3,sing)	
selues	zelf	pron(dem)	
niet	niet	adv(neg)	
eyghijn	eigen	adj()

wat	wat	pron(rel)	
so	zo	adv(gener)	
die	de	art(def)	
dore	door	n(sing)	
lesen	lezen	v(infin)

iacop	jacob	n(prop)	
hout	houden	v(imp)	
dat	dat	pron(dem)	
gheloue	geloof	n(sing)	
dijn	dijn	pron(poss)

hets	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	
menich	menig	num(indef)	
onbesceeden	onbescheiden	adj()	
zwijn	zwijn	n(sing)

te	te	adp()	
priesterscap	priesterschap	n(sing)	
gheresen	gerezen	v(infin)

dies	die	pron(dem)	
niet	niet	adv(neg)	
en	en	adv(neg)	
mach	mogen	v(fin,pres,aux_cop)	
ghenesen	genezen	v(infin)

martijn	martijn	n(prop)	
dijn	dijn	pron(poss)	
gheloue	geloof	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
goet	goed	adj()

ic	ik	pron(pers,1,sing)	
bem	zijn	v(fin,pres,aux_cop)	
dies	dat	pron(dem)	
seker	zeker	adj()	
ende	en	conj(coord)	
vroet	vroed	adj()

weldaet	weldaad	n(sing)	
wert	worden	v(fin,pres,aux_cop)	
niet	niet	adv(neg)	
vergheten	vergeten	v(participle,past)

laet	laten	v(fin,pres,aux_cop)	
hem	hij	pron(pers,3,sing)	
begaen	begaan	v(infin)	
diet	die+het	pron(rel)+pron(pers,3,sing)	
ghelden	gelden	v(infin)	
moet	moeten	v(fin,pres,aux_cop)

ende	en	conj(coord)	
diet	die+het	pron(rel)+pron(pers,3,sing)	
al	al	pron(indef)	
bi	bij	adp()	
redenen	reden	n(plu)	
doet	doen	v(fin,pres,lex)

nemmeer	nimmer	adv(gener)	
en	ne	adv(neg)	
willix	willen+ik 	v(fin,pres,lex)+pron(pers,1,sing)	
weten	weten	v(infin)

hi	hij	pron(pers,3,sing)	
es	zijn	v(fin,pres,aux_cop)	
die+ghene	diegene	pron(dem)	
diet	die+het	pron(rel)+pron(pers,3,sing)	
al	al	adv(gener)	
behoet	behoeden	v(fin,pres,lex)

alse	als	conj(subord)	
die	de	art(def)	
hinne	hen	n(sing)	
hare	haar	pron(poss)	
kiekine	kuiken	n(plu)	
broet	broeden	v(fin,pres,lex)

heeft	hebben	v(fin,pres,aux_cop)	
hijt	hij+het	pron(pers,3,sing)+pron(pers,3,sing)	
al	al	adv(gener)	
beseten	bezitten	v(participle,past)

hi	hij	pron(pers,3,sing)	
gheuet	geven	v(fin,pres,lex)	
ons	wij	pron(poss)	
ziele	ziel	n(sing)	
vleesch	vlees	n(sing)	
ende	en	conj(coord)	
bloet	bloed	n(sing)

hi	hij	pron(pers,3,sing)	
hoet	hoeden	v(fin,pres,lex)	
ons	wij	pron(pers,1,plu)	
vorden	voor+de	adp()+art(def)	
helschen	hels	adj()	
gloet	gloed	n(sing)

dat	dat	conj(subord)	
wi	wij	pron(pers,1,plu)	
niet	niet	adv(neg)	
werden	worden	v(infin)	
te	te	adp()	
sleten	slijten	v(infin)

ten	te+de	adp()+art(def)	
ioncsten	jongsten	adv(gener)	
noch	noch	adv(gener)	
verbeten	verbijten	v(participle,past)

martin	martin	n(prop)	
menich	menig	num(indef)	
parlement	parlementen	v(fin,pres,lex)

ende	en	conj(coord)	
seghet	zeggen	v(fin,pres,lex)	
die	de	art(def)	
minne	min	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
blent	blind	adj()

oec	ook	adv(gener)	
eist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
een	een	art(indef)	
woert	woord	n(sing)	
ghemeene	gemeen	adj()

omme+dat	omdat	conj(subord)	
ic	ik	pron(pers,1,sing)	
ben	zijn	v(fin,pres,aux_cop)	
een	een	art(indef)	
onwijs	onwijs	adj()	
rent	rund	n(sing)

so	zo	adv(resum)	
mac	maken	v(imp)	
mi	ik	pron(pers,1,sing)	
dese	deze	pron(dem)	
wort	woord	n(sing)	
bekent	bekend	v(participle,past)

want	want	conj(coord)	
ennes	ne+zijn	adv(neg)+v(fin,pres,lex)	
niet	niet	adv(neg)	
cleene	klein	adj()

es	zijn	v(fin,pres,aux_cop)	
dat	dat	conj(subord)	
waer	waar	adj()	
so	zo	adv(resum)	
es	zijn	v(fin,pres,aux_cop)	
minne	min	n(sing)	
torment	torment	n(sing)

entie	en+die	conj(coord)+pron(dem)	
hare	zij	pron(pers,3,sing)	
volghet	volgen	v(fin,pres,lex)	
es	zijn	v(fin,pres,aux_cop)	
ghescent	schenden	v(participle,past)

ende	en	conj(coord)	
onteert	onteren	v(fin,pres,lex)	
al+reene	alrein	adv(gener)

nu	nu	adv(dem)	
seghet	zeggen	v(fin,pres,lex)	
elc	elk	num(indef)	
wise	wijs	adj()	
al	al	adv(gener)	
omtrent	omtrent	adp()

dat	dat	art(def)	
minne	min	n(sing)	
dat	dat	art(def)	
edele	edel	adj()	
instrument	instrument	n(sing)

gode	god	n(sing)	
van	van	adp()	
nazareene	nazareen	n(prop)

brochte	brengen	v(fin,past,lex)	
in	in	adp()	
desen	deze	pron(dem)	
weene	ween	n(sing)

iacop	jacob	n(prop)	
dijn	dijn	pron(poss)	
vraghen	vragen	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
swaer	zwaar	adj()

doch	toch	adv(gener)	
proeftmen	proeven+men	v(fin,past,lex)+pron(indef)	
in	in	adp()	
redene	reden	n(sing)	
claer	klaar	adj()

drierhande	drie‘rhande	num(ord)	
minne	min	n(sing)

deerste	de+eerst	art(def)+num(ord)	
dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
caritate	caritaat	n(sing)	
dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
waer	waar	adj()

dies	die+zijn	pron(dem)+v(fin,pres,aux_cop)	
sonder	zonder	adp()	
pine	pijn	n(sing)	
ende	en	conj(coord)	
vaer	vaar	n(sing)

ende	en	conj(coord)	
daer	daar	pronadv(dem)	
woent	wonen	v(fin,pres,lex)	
god	god	n(sing)	
inne	in	pronadv(prep)

dander	de+ander	art(def)+pron(indef)	
trect	trekken	v(fin,pres,lex)	
die	de	art(def)	
weerelt	wereld	n(sing)	
naer	naar	adp()

om	om	adp()	
eere	eer	n(sing)	
om	om	adp()	
goet	goed	n(sing)	
staet	staan	v(fin,pres,lex)	
al	al	num(indef)	
haer	haar	pron(poss)	
gaer	gaar	n(sing)

dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)	
eene	een	art(indef)	
bastaerdinne	bastaardin	n(sing)

die	de	art(def)	
derde	derde	num(ord)	
minne	min	n(sing)	
heescht	eisen	v(fin,pres,lex)	
die	de	art(def)	
jaer	jaar	n(sing)

als	als	conj(subord)	
bi	bij	adp()	
naturen	natuur	n(sing)	
elc	elk	num(indef)	
doet	doen	v(fin,pres,lex)	
sijn	zijn	pron(poss)	
paer	paar	n(sing)

al	al	adv(gener)	
noch	nog	adv(gener)	
sijn	zijn	v(fin,pres,aux_cop)	
si	zij	pron(pers,3,plu)	
dinne	dun	adj()

die	die	pron(rel)	
deser	deze	pron(dem)	
volghen	volgen	v(fin,pres,lex)	
bi	bij	adp()	
sinne	zin	n(sing)

deerste	de+eerst	art(def)+num(ord)	
minne	min	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
so	zo	adv(dem)	
groot	groot	adj()

dat	dat	pron(rel)	
alleene	alleen	adv(gener)	
dat	dat	pron(rel)	
god	god	n(sing)	
gheboot	gebieden	v(fin,past,lex)

vul+prijsde	volprijzen	v(fin,past,lex)	
niet	niet	adv(neg)	
haer	haar	pron(poss)	
werde	waarde	n(sing)

iane	ja+ne	n(prop)	
trac	trekken	v(fin,past,lex)	
so	zij	pron(pers,3,sing)	
themesche	hemels	adj()	
broot	brood	n(sing)

hier	hier	adv(dem)	
neder	neder	adv(gener)	
inder	in+de	adp()+art(def)	
magheden	maagd	n(sing)	
scoot	schoot	n(sing)

onder	onder	adp()	
der	de	art(def)	
ioden	jood	n(plu)	
zwerde	zwaard	n(plu)

minne	min	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
god	god	n(sing)	
dat	dat	pron(dem)	
merct	merken	v(imp)	
al	al	adv(gener)	
bloot	bloot	adv(gener)

wie	wie	pron(inter)	
mochte	mogen	v(fin,past,aux_cop)	
els	els	pron(indef)	
bringhen	brengen	v(infin)	
inder	in+de	adp()+art(def)	
noot	nood	n(sing)

hem	hij	pron(pers,3,sing)	
diet	die+het	pron(rel)+pron(pers,3,sing)	
al	al	pron(indef)	
verwerde	vervaren	v(fin,past,lex)

dan	dan	conj(comp)	
die	die	pron(rel)	
hem	hij	pron(refl,3,sing)	
seluen	zelf	pron(dem)	
daer	daar	pronadv(dem)	
in	in	pronadv(prep)	
